Question;Option A;Option B;Option C;Option D;Answer,,,,,,,,
A can do a work in 20 days and B in 30 days. If they work on it together for 6 days, then the fraction of the work that is left is:;1/3;2/2;0/2;1/2;D,,,,,,,,
A can do a work in 10 days and B in 30 days. If they work on it together for 6 days, then the fraction of the work that is left is:;2/5;0/5;1/5;1/6;C,,,,,,,,
A can do a work in 20 days and B in 24 days. If they work on it together for 6 days, then the fraction of the work that is left is:;10/20;9/21;9/20;8/20;C,,,,,,,,
A can do a work in 20 days and B in 40 days. If they work on it together for 3 days, then the fraction of the work that is left is:;30/40;32/40;31/40;31/41;C,,,,,,,,
A can do a work in 20 days and B in 30 days. If they work on it together for 3 days, then the fraction of the work that is left is:;3/4;2/4;4/4;3/5;A,,,,,,,,
A can do a work in 15 days and B in 20 days. If they work on it together for 6 days, then the fraction of the work that is left is:;3/10;2/10;4/10;3/11;A,,,,,,,,
A can do a work in 12 days and B in 30 days. If they work on it together for 4 days, then the fraction of the work that is left is:;9/15;8/15;7/15;8/16;B,,,,,,,,
A can do a work in 15 days and B in 40 days. If they work on it together for 4 days, then the fraction of the work that is left is:;19/31;18/30;20/30;19/30;D,,,,,,,,
A can do a work in 12 days and B in 30 days. If they work on it together for 3 days, then the fraction of the work that is left is:;13/21;14/20;13/20;12/20;C,,,,,,,,
A train running at the speed of 90 km/hr crosses a pole in 12 seconds. What is the length of the train?;310 metres;340 metres;280 metres;300 metres;D,,,,,,,,
A train running at the speed of 72 km/hr crosses a pole in 8 seconds. What is the length of the train?;170 metres;160 metres;140 metres;200 metres;B,,,,,,,,
A train running at the speed of 108 km/hr crosses a pole in 12 seconds. What is the length of the train?;400 metres;370 metres;360 metres;340 metres;C,,,,,,,,
A train running at the speed of 54 km/hr crosses a pole in 8 seconds. What is the length of the train?;120 metres;160 metres;100 metres;130 metres;A,,,,,,,,
A train running at the speed of 90 km/hr crosses a pole in 10 seconds. What is the length of the train?;230 metres;250 metres;290 metres;260 metres;B,,,,,,,,
A train running at the speed of 90 km/hr crosses a pole in 8 seconds. What is the length of the train?;180 metres;200 metres;210 metres;240 metres;B,,,,,,,,
A train running at the speed of 72 km/hr crosses a pole in 15 seconds. What is the length of the train?;300 metres;280 metres;340 metres;310 metres;A,,,,,,,,
A train running at the speed of 72 km/hr crosses a pole in 10 seconds. What is the length of the train?;210 metres;180 metres;240 metres;200 metres;D,,,,,,,,
A train running at the speed of 72 km/hr crosses a pole in 12 seconds. What is the length of the train?;220 metres;240 metres;250 metres;280 metres;B,,,,,,,,
A train running at the speed of 54 km/hr crosses a pole in 12 seconds. What is the length of the train?;160 metres;180 metres;220 metres;190 metres;B,,,,,,,,
A train running at the speed of 90 km/hr crosses a pole in 15 seconds. What is the length of the train?;355 metres;375 metres;385 metres;415 metres;B,,,,,,,,
A train running at the speed of 108 km/hr crosses a pole in 15 seconds. What is the length of the train?;460 metres;490 metres;430 metres;450 metres;D,,,,,,,,
A train running at the speed of 54 km/hr crosses a pole in 10 seconds. What is the length of the train?;160 metres;150 metres;190 metres;130 metres;B,,,,,,,,
A train running at the speed of 108 km/hr crosses a pole in 10 seconds. What is the length of the train?;340 metres;310 metres;280 metres;300 metres;D,,,,,,,,
A train running at the speed of 108 km/hr crosses a pole in 8 seconds. What is the length of the train?;220 metres;240 metres;280 metres;250 metres;B,,,,,,,,
If 4 unbiased coins are tossed, what is the probability of getting exactly 2 heads?;3/8;4/8;2/8;3/7;A,,,,,,,,
If 4 unbiased coins are tossed, what is the probability of getting exactly 3 heads?;0/4;1/4;2/4;1/3;B,,,,,,,,
If 3 unbiased coins are tossed, what is the probability of getting exactly 3 heads?;1/8;1/7;2/8;0/8;A,,,,,,,,
If 4 unbiased coins are tossed, what is the probability of getting exactly 1 heads?;1/4;0/4;2/4;1/3;A,,,,,,,,
If 3 unbiased coins are tossed, what is the probability of getting exactly 1 heads?;2/8;3/7;4/8;3/8;D,,,,,,,,
If 3 unbiased coins are tossed, what is the probability of getting exactly 2 heads?;3/8;4/8;2/8;3/7;A,,,,,,,,
Find the length of the diagonal of a rectangle whose sides are 12 cm and 8 cm.<br><img src='images/vis_59bf7d3f.svg' style='max-width:100%,'>;18 cm;14.42 cm;13 cm;16 cm;B,,,,,,,,
Find the length of the diagonal of a rectangle whose sides are 16 cm and 12 cm.<br><img src='images/vis_6d9869f9.svg' style='max-width:100%,'>;24 cm;19 cm;20 cm;22 cm;C,,,,,,,,
Find the length of the diagonal of a rectangle whose sides are 20 cm and 15 cm.<br><img src='images/vis_2ffc90b3.svg' style='max-width:100%,'>;25 cm;24 cm;29 cm;27 cm;A,,,,,,,,
Find the length of the diagonal of a rectangle whose sides are 16 cm and 12 cm.<br><img src='images/vis_31f730a0.svg' style='max-width:100%,'>;24 cm;19 cm;20 cm;22 cm;C,,,,,,,,
Find the length of the diagonal of a rectangle whose sides are 12 cm and 15 cm.<br><img src='images/vis_7e9e400e.svg' style='max-width:100%,'>;18 cm;23 cm;21 cm;19.21 cm;D,,,,,,,,
Find the length of the diagonal of a rectangle whose sides are 10 cm and 9 cm.<br><img src='images/vis_80852246.svg' style='max-width:100%,'>;17 cm;15 cm;12 cm;13.45 cm;D,,,,,,,,
Find the length of the diagonal of a rectangle whose sides are 12 cm and 8 cm.<br><img src='images/vis_90b9ea97.svg' style='max-width:100%,'>;14.42 cm;16 cm;13 cm;18 cm;A,,,,,,,,
Find the length of the diagonal of a rectangle whose sides are 12 cm and 9 cm.<br><img src='images/vis_acc7415a.svg' style='max-width:100%,'>;19 cm;14 cm;17 cm;15 cm;D,,,,,,,,
Find the length of the diagonal of a rectangle whose sides are 16 cm and 9 cm.<br><img src='images/vis_80c2b764.svg' style='max-width:100%,'>;18.36 cm;17 cm;20 cm;22 cm;A,,,,,,,,
Find the length of the diagonal of a rectangle whose sides are 16 cm and 9 cm.<br><img src='images/vis_0c645bc5.svg' style='max-width:100%,'>;20 cm;18.36 cm;22 cm;17 cm;B,,,,,,,,
Find the length of the diagonal of a rectangle whose sides are 20 cm and 15 cm.<br><img src='images/vis_3f2bc42c.svg' style='max-width:100%,'>;29 cm;24 cm;25 cm;27 cm;C,,,,,,,,
Find the length of the diagonal of a rectangle whose sides are 16 cm and 9 cm.<br><img src='images/vis_142548db.svg' style='max-width:100%,'>;18.36 cm;22 cm;20 cm;17 cm;A,,,,,,,,
Find the length of the diagonal of a rectangle whose sides are 20 cm and 12 cm.<br><img src='images/vis_4deda280.svg' style='max-width:100%,'>;23.32 cm;22 cm;27 cm;25 cm;A,,,,,,,,
Find the length of the diagonal of a rectangle whose sides are 10 cm and 15 cm.<br><img src='images/vis_ed29b22c.svg' style='max-width:100%,'>;18.03 cm;17 cm;22 cm;20 cm;A,,,,,,,,
Find the length of the diagonal of a rectangle whose sides are 10 cm and 8 cm.<br><img src='images/vis_86d364ce.svg' style='max-width:100%,'>;12.81 cm;11 cm;14 cm;16 cm;A,,,,,,,,
Find the length of the diagonal of a rectangle whose sides are 10 cm and 15 cm.<br><img src='images/vis_5896230a.svg' style='max-width:100%,'>;18.03 cm;20 cm;17 cm;22 cm;A,,,,,,,,
Find the length of the diagonal of a rectangle whose sides are 12 cm and 15 cm.<br><img src='images/vis_df5a82b5.svg' style='max-width:100%,'>;18 cm;19.21 cm;21 cm;23 cm;B,,,,,,,,
Find the length of the diagonal of a rectangle whose sides are 12 cm and 15 cm.<br><img src='images/vis_7766c214.svg' style='max-width:100%,'>;19.21 cm;23 cm;21 cm;18 cm;A,,,,,,,,
Find the length of the diagonal of a rectangle whose sides are 16 cm and 15 cm.<br><img src='images/vis_3a3a7678.svg' style='max-width:100%,'>;20 cm;23 cm;25 cm;21.93 cm;D,,,,,,,,
Find the length of the diagonal of a rectangle whose sides are 20 cm and 9 cm.<br><img src='images/vis_ad19d07a.svg' style='max-width:100%,'>;20 cm;25 cm;23 cm;21.93 cm;D,,,,,,,,
Find the length of the diagonal of a rectangle whose sides are 10 cm and 9 cm.<br><img src='images/vis_1533d4a5.svg' style='max-width:100%,'>;15 cm;12 cm;13.45 cm;17 cm;C,,,,,,,,
Find the length of the diagonal of a rectangle whose sides are 16 cm and 12 cm.<br><img src='images/vis_dfffef55.svg' style='max-width:100%,'>;19 cm;24 cm;22 cm;20 cm;D,,,,,,,,
Find the length of the diagonal of a rectangle whose sides are 10 cm and 12 cm.<br><img src='images/vis_234a8cbd.svg' style='max-width:100%,'>;19 cm;14 cm;17 cm;15.62 cm;D,,,,,,,,
Find the length of the diagonal of a rectangle whose sides are 20 cm and 8 cm.<br><img src='images/vis_11231535.svg' style='max-width:100%,'>;25 cm;21.54 cm;23 cm;20 cm;B,,,,,,,,
Find the length of the diagonal of a rectangle whose sides are 10 cm and 15 cm.<br><img src='images/vis_c793c0b6.svg' style='max-width:100%,'>;20 cm;17 cm;22 cm;18.03 cm;D,,,,,,,,
Study the bar chart showing sales data.<br>What is the percentage increase in sales from 2018 to 2020?<br><img src='images/vis_f08138fb.svg' style='max-width:100%,'>;100%;50%;40%;70%;B,,,,,,,,
Study the bar chart showing sales data.<br>What is the percentage increase in sales from 2018 to 2020?<br><img src='images/vis_23eb7de0.svg' style='max-width:100%,'>;70%;50%;100%;40%;B,,,,,,,,
Study the bar chart showing sales data.<br>What is the percentage increase in sales from 2018 to 2020?<br><img src='images/vis_85538637.svg' style='max-width:100%,'>;20%;10%;70%;40%;A,,,,,,,,
Study the bar chart showing sales data.<br>What is the percentage increase in sales from 2018 to 2020?<br><img src='images/vis_ddb40a05.svg' style='max-width:100%,'>;220%;190%;200%;250%;C,,,,,,,,
Study the bar chart showing sales data.<br>What is the percentage increase in sales from 2018 to 2020?<br><img src='images/vis_7c550d1c.svg' style='max-width:100%,'>;137%;107%;77%;87%;D,,,,,,,,
Study the bar chart showing sales data.<br>What is the percentage increase in sales from 2018 to 2020?<br><img src='images/vis_223f2c25.svg' style='max-width:100%,'>;300%;320%;350%;290%;A,,,,,,,,
Study the bar chart showing sales data.<br>What is the percentage increase in sales from 2018 to 2020?<br><img src='images/vis_3fae7852.svg' style='max-width:100%,'>;160%;130%;190%;140%;D,,,,,,,,
Study the bar chart showing sales data.<br>What is the percentage increase in sales from 2018 to 2020?<br><img src='images/vis_e8ebdaf5.svg' style='max-width:100%,'>;100%;120%;150%;90%;A,,,,,,,,
Study the bar chart showing sales data.<br>What is the percentage increase in sales from 2018 to 2020?<br><img src='images/vis_44677c66.svg' style='max-width:100%,'>;170%;200%;150%;140%;C,,,,,,,,
Study the bar chart showing sales data.<br>What is the percentage increase in sales from 2018 to 2020?<br><img src='images/vis_1842c387.svg' style='max-width:100%,'>;87%;137%;77%;107%;A,,,,,,,,
Study the bar chart showing sales data.<br>What is the percentage increase in sales from 2018 to 2020?<br><img src='images/vis_77a52096.svg' style='max-width:100%,'>;50%;60%;80%;110%;B,,,,,,,,
Study the bar chart showing sales data.<br>What is the percentage increase in sales from 2018 to 2020?<br><img src='images/vis_69084294.svg' style='max-width:100%,'>;20%;70%;40%;10%;A,,,,,,,,
Study the bar chart showing sales data.<br>What is the percentage increase in sales from 2018 to 2020?<br><img src='images/vis_33c0a556.svg' style='max-width:100%,'>;300%;320%;350%;290%;A,,,,,,,,
Study the bar chart showing sales data.<br>What is the percentage increase in sales from 2018 to 2020?<br><img src='images/vis_f417568b.svg' style='max-width:100%,'>;107%;87%;77%;137%;B,,,,,,,,
Study the bar chart showing sales data.<br>What is the percentage increase in sales from 2018 to 2020?<br><img src='images/vis_8db98314.svg' style='max-width:100%,'>;320%;350%;290%;300%;D,,,,,,,,
Study the bar chart showing sales data.<br>What is the percentage increase in sales from 2018 to 2020?<br><img src='images/vis_7301bbce.svg' style='max-width:100%,'>;350%;290%;320%;300%;D,,,,,,,,
Study the bar chart showing sales data.<br>What is the percentage increase in sales from 2018 to 2020?<br><img src='images/vis_f2e96eaf.svg' style='max-width:100%,'>;190%;130%;160%;140%;D,,,,,,,,
Study the bar chart showing sales data.<br>What is the percentage increase in sales from 2018 to 2020?<br><img src='images/vis_b5e65b9d.svg' style='max-width:100%,'>;156%;186%;166%;216%;C,,,,,,,,
Study the bar chart showing sales data.<br>What is the percentage increase in sales from 2018 to 2020?<br><img src='images/vis_7b8a2c65.svg' style='max-width:100%,'>;250%;200%;190%;220%;B,,,,,,,,
Study the bar chart showing sales data.<br>What is the percentage increase in sales from 2018 to 2020?<br><img src='images/vis_adbf5df9.svg' style='max-width:100%,'>;50%;60%;110%;80%;B,,,,,,,,
