Question;Option A;Option B;Option C;Option D;Answer,,,,,,,,
Two trains of lengths 250 m and 180 m are running in opposite directions on parallel tracks at 62 km/hr and 48 km/hr respectively. The time taken to cross each other is approximately:;16.57 sec;14.07 sec;21.11 sec;12.82 sec;B,,,,,,,,
A can do a piece of work in 26 days and B can do the same work in 39 days. How many days will they take to complete the work together?;17.6 days;15.6 days;65 days;14.1 days;B,,,,,,,,
In what ratio must a grocer mix two varieties of items costing Rs. 22 and Rs. 55 per kg respectively so as to get a mixture worth Rs. 50 per kg?;5:28;28:5;5:29;6:28;A,,,,,,,,
A bag contains 13 red and 13 yellow balls. One ball is drawn at random. What is the probability that the ball drawn is yellow?;13/26;25/26;12/26;17/36;A,,,,,,,,
Find the simple interest on Rs. 59900 at 18% per annum for 8 years.;86256;86176;86746;87236;A,,,,,,,,
Two trains of lengths 220 m and 250 m are running in opposite directions on parallel tracks at 55 km/hr and 70 km/hr respectively. The time taken to cross each other is approximately:;20.31 sec;16.04 sec;13.54 sec;12.29 sec;C,,,,,,,,
A can do a piece of work in 30 days and B can do the same work in 29 days. How many days will they take to complete the work together?;14.75 days;13.25 days;59 days;16.75 days;A,,,,,,,,
In what ratio must a grocer mix two varieties of items costing Rs. 20 and Rs. 69 per kg respectively so as to get a mixture worth Rs. 36 per kg?;33:16;33:17;34:16;16:33;A,,,,,,,,
A bag contains 4 red and 14 yellow balls. One ball is drawn at random. What is the probability that the ball drawn is yellow?;15/18;4/18;13/18;14/18;D,,,,,,,,
Find the simple interest on Rs. 62400 at 17% per annum for 7 years.;74256;74336;73906;75206;A,,,,,,,,
Two trains of lengths 200 m and 250 m are running in opposite directions on parallel tracks at 66 km/hr and 62 km/hr respectively. The time taken to cross each other is approximately:;15.16 sec;12.66 sec;18.99 sec;11.41 sec;B,,,,,,,,
A can do a piece of work in 18 days and B can do the same work in 38 days. How many days will they take to complete the work together?;56 days;14.21 days;12.21 days;10.71 days;C,,,,,,,,
In what ratio must a grocer mix two varieties of items costing Rs. 18 and Rs. 46 per kg respectively so as to get a mixture worth Rs. 34 per kg?;12:17;12:16;13:16;16:12;B,,,,,,,,
A bag contains 13 black and 8 green balls. One ball is drawn at random. What is the probability that the ball drawn is green?;3/21;7/21;8/21;13/21;C,,,,,,,,
Find the simple interest on Rs. 83100 at 8% per annum for 3 years.;19944;20034;19954;19704;A,,,,,,,,
Two trains of lengths 100 m and 140 m are running in opposite directions on parallel tracks at 73 km/hr and 42 km/hr respectively. The time taken to cross each other is approximately:;10.01 sec;6.26 sec;7.51 sec;11.27 sec;C,,,,,,,,
A can do a piece of work in 20 days and B can do the same work in 15 days. How many days will they take to complete the work together?;7.07 days;35 days;10.57 days;8.57 days;D,,,,,,,,
In what ratio must a grocer mix two varieties of items costing Rs. 15 and Rs. 60 per kg respectively so as to get a mixture worth Rs. 44 per kg?;16:29;17:29;29:16;16:30;A,,,,,,,,
A bag contains 13 red and 12 yellow balls. One ball is drawn at random. What is the probability that the ball drawn is yellow?;11/25;3/25;13/25;12/25;D,,,,,,,,
Find the simple interest on Rs. 37200 at 9% per annum for 4 years.;13392;13572;13862;13252;A,,,,,,,,
Two trains of lengths 270 m and 260 m are running in opposite directions on parallel tracks at 48 km/hr and 79 km/hr respectively. The time taken to cross each other is approximately:;13.77 sec;15.02 sec;22.53 sec;17.52 sec;B,,,,,,,,
A can do a piece of work in 17 days and B can do the same work in 32 days. How many days will they take to complete the work together?;9.6 days;49 days;13.1 days;11.1 days;D,,,,,,,,
In what ratio must a grocer mix two varieties of items costing Rs. 20 and Rs. 49 per kg respectively so as to get a mixture worth Rs. 42 per kg?;22:7;7:23;8:22;7:22;D,,,,,,,,
A bag contains 8 black and 8 yellow balls. One ball is drawn at random. What is the probability that the ball drawn is yellow?;20/26;8/16;7/16;15/16;B,,,,,,,,
Find the simple interest on Rs. 88900 at 5% per annum for 3 years.;13855;13815;13175;13335;D,,,,,,,,
Two trains of lengths 230 m and 130 m are running in opposite directions on parallel tracks at 72 km/hr and 74 km/hr respectively. The time taken to cross each other is approximately:;8.88 sec;13.32 sec;7.63 sec;11.38 sec;A,,,,,,,,
A can do a piece of work in 23 days and B can do the same work in 29 days. How many days will they take to complete the work together?;12.83 days;11.33 days;52 days;14.83 days;A,,,,,,,,
In what ratio must a grocer mix two varieties of items costing Rs. 17 and Rs. 54 per kg respectively so as to get a mixture worth Rs. 29 per kg?;25:12;26:12;25:13;12:25;A,,,,,,,,
A bag contains 11 black and 15 white balls. One ball is drawn at random. What is the probability that the ball drawn is white?;8/26;14/26;11/26;15/26;D,,,,,,,,
Find the simple interest on Rs. 81200 at 12% per annum for 6 years.;58834;58254;58464;58624;C,,,,,,,,
Two trains of lengths 260 m and 270 m are running in opposite directions on parallel tracks at 62 km/hr and 65 km/hr respectively. The time taken to cross each other is approximately:;22.53 sec;17.52 sec;13.77 sec;15.02 sec;D,,,,,,,,
A can do a piece of work in 19 days and B can do the same work in 37 days. How many days will they take to complete the work together?;14.55 days;11.05 days;56 days;12.55 days;D,,,,,,,,
In what ratio must a grocer mix two varieties of items costing Rs. 24 and Rs. 75 per kg respectively so as to get a mixture worth Rs. 47 per kg?;29:23;28:23;28:24;23:28;B,,,,,,,,
A bag contains 9 black and 15 white balls. One ball is drawn at random. What is the probability that the ball drawn is white?;9/24;8/24;15/24;14/24;C,,,,,,,,
Find the simple interest on Rs. 36200 at 5% per annum for 5 years.;9050;9460;8770;9210;A,,,,,,,,
Two trains of lengths 220 m and 290 m are running in opposite directions on parallel tracks at 71 km/hr and 60 km/hr respectively. The time taken to cross each other is approximately:;16.52 sec;21.03 sec;12.77 sec;14.02 sec;D,,,,,,,,
A can do a piece of work in 20 days and B can do the same work in 28 days. How many days will they take to complete the work together?;13.67 days;11.67 days;10.17 days;48 days;B,,,,,,,,
In what ratio must a grocer mix two varieties of items costing Rs. 26 and Rs. 46 per kg respectively so as to get a mixture worth Rs. 31 per kg?;15:5;16:5;5:15;15:6;A,,,,,,,,
A bag contains 9 blue and 4 yellow balls. One ball is drawn at random. What is the probability that the ball drawn is yellow?;3/13;4/13;9/13;6/13;B,,,,,,,,
Find the simple interest on Rs. 64800 at 7% per annum for 3 years.;13828;13658;13608;13358;C,,,,,,,,
Two trains of lengths 170 m and 280 m are running in opposite directions on parallel tracks at 78 km/hr and 40 km/hr respectively. The time taken to cross each other is approximately:;16.23 sec;12.48 sec;20.59 sec;13.73 sec;D,,,,,,,,
A can do a piece of work in 28 days and B can do the same work in 34 days. How many days will they take to complete the work together?;62 days;17.35 days;15.35 days;13.85 days;C,,,,,,,,
In what ratio must a grocer mix two varieties of items costing Rs. 20 and Rs. 78 per kg respectively so as to get a mixture worth Rs. 61 per kg?;18:41;17:41;17:42;41:17;B,,,,,,,,
A bag contains 12 black and 5 yellow balls. One ball is drawn at random. What is the probability that the ball drawn is yellow?;8/17;5/17;12/17;4/17;B,,,,,,,,
Find the simple interest on Rs. 14900 at 8% per annum for 3 years.;3936;3576;3866;3456;B,,,,,,,,
Two trains of lengths 240 m and 170 m are running in opposite directions on parallel tracks at 46 km/hr and 49 km/hr respectively. The time taken to cross each other is approximately:;23.31 sec;14.29 sec;18.04 sec;15.54 sec;D,,,,,,,,
A can do a piece of work in 10 days and B can do the same work in 19 days. How many days will they take to complete the work together?;8.55 days;5.05 days;29 days;6.55 days;D,,,,,,,,
In what ratio must a grocer mix two varieties of items costing Rs. 18 and Rs. 59 per kg respectively so as to get a mixture worth Rs. 45 per kg?;14:28;27:14;14:27;15:27;C,,,,,,,,
A bag contains 3 red and 13 green balls. One ball is drawn at random. What is the probability that the ball drawn is green?;10/16;13/16;3/16;12/16;B,,,,,,,,
Find the simple interest on Rs. 48800 at 14% per annum for 5 years.;34470;34690;34160;33950;C,,,,,,,,
Two trains of lengths 120 m and 200 m are running in opposite directions on parallel tracks at 52 km/hr and 59 km/hr respectively. The time taken to cross each other is approximately:;9.13 sec;15.57 sec;10.38 sec;12.88 sec;C,,,,,,,,
A can do a piece of work in 23 days and B can do the same work in 36 days. How many days will they take to complete the work together?;12.53 days;16.03 days;59 days;14.03 days;D,,,,,,,,
In what ratio must a grocer mix two varieties of items costing Rs. 21 and Rs. 61 per kg respectively so as to get a mixture worth Rs. 35 per kg?;26:14;26:15;27:14;14:26;A,,,,,,,,
A bag contains 4 blue and 8 yellow balls. One ball is drawn at random. What is the probability that the ball drawn is yellow?;3/12;8/12;7/12;4/12;B,,,,,,,,
Find the simple interest on Rs. 19400 at 6% per annum for 5 years.;5720;6410;5820;6070;C,,,,,,,,
Two trains of lengths 200 m and 130 m are running in opposite directions on parallel tracks at 48 km/hr and 45 km/hr respectively. The time taken to cross each other is approximately:;11.52 sec;19.16 sec;12.77 sec;15.27 sec;C,,,,,,,,
A can do a piece of work in 24 days and B can do the same work in 33 days. How many days will they take to complete the work together?;13.89 days;57 days;15.89 days;12.39 days;A,,,,,,,,
In what ratio must a grocer mix two varieties of items costing Rs. 21 and Rs. 73 per kg respectively so as to get a mixture worth Rs. 56 per kg?;18:35;17:36;35:17;17:35;D,,,,,,,,
A bag contains 7 blue and 4 yellow balls. One ball is drawn at random. What is the probability that the ball drawn is yellow?;3/11;7/11;5/11;4/11;D,,,,,,,,
Find the simple interest on Rs. 17400 at 16% per annum for 3 years.;9152;8822;7962;8352;D,,,,,,,,
Two trains of lengths 150 m and 280 m are running in opposite directions on parallel tracks at 78 km/hr and 47 km/hr respectively. The time taken to cross each other is approximately:;14.88 sec;12.38 sec;18.57 sec;11.13 sec;B,,,,,,,,
A can do a piece of work in 28 days and B can do the same work in 35 days. How many days will they take to complete the work together?;14.06 days;15.56 days;17.56 days;63 days;B,,,,,,,,
In what ratio must a grocer mix two varieties of items costing Rs. 15 and Rs. 48 per kg respectively so as to get a mixture worth Rs. 25 per kg?;24:10;23:10;10:23;23:11;B,,,,,,,,
A bag contains 11 black and 12 white balls. One ball is drawn at random. What is the probability that the ball drawn is white?;12/23;11/23;13/33;3/23;A,,,,,,,,
Find the simple interest on Rs. 13900 at 6% per annum for 2 years.;1668;1968;1168;1828;A,,,,,,,,
Two trains of lengths 220 m and 140 m are running in opposite directions on parallel tracks at 46 km/hr and 50 km/hr respectively. The time taken to cross each other is approximately:;16.0 sec;12.25 sec;20.25 sec;13.5 sec;D,,,,,,,,
A can do a piece of work in 18 days and B can do the same work in 16 days. How many days will they take to complete the work together?;6.97 days;8.47 days;10.47 days;34 days;B,,,,,,,,
In what ratio must a grocer mix two varieties of items costing Rs. 21 and Rs. 78 per kg respectively so as to get a mixture worth Rs. 43 per kg?;22:35;35:23;35:22;36:22;C,,,,,,,,
A bag contains 11 red and 9 white balls. One ball is drawn at random. What is the probability that the ball drawn is white?;5/20;8/20;11/20;9/20;D,,,,,,,,
Find the simple interest on Rs. 75300 at 9% per annum for 6 years.;40902;40552;41592;40662;D,,,,,,,,
Two trains of lengths 120 m and 120 m are running in opposite directions on parallel tracks at 80 km/hr and 74 km/hr respectively. The time taken to cross each other is approximately:;8.42 sec;8.11 sec;5.61 sec;4.36 sec;C,,,,,,,,
A can do a piece of work in 20 days and B can do the same work in 38 days. How many days will they take to complete the work together?;15.1 days;58 days;13.1 days;11.6 days;C,,,,,,,,
In what ratio must a grocer mix two varieties of items costing Rs. 25 and Rs. 80 per kg respectively so as to get a mixture worth Rs. 45 per kg?;35:20;20:35;36:20;35:21;A,,,,,,,,
A bag contains 8 blue and 14 yellow balls. One ball is drawn at random. What is the probability that the ball drawn is yellow?;8/22;12/22;13/22;14/22;D,,,,,,,,
Find the simple interest on Rs. 40000 at 7% per annum for 5 years.;14320;14990;14000;13720;C,,,,,,,,
Two trains of lengths 300 m and 150 m are running in opposite directions on parallel tracks at 76 km/hr and 43 km/hr respectively. The time taken to cross each other is approximately:;20.41 sec;13.61 sec;16.11 sec;12.36 sec;B,,,,,,,,
A can do a piece of work in 14 days and B can do the same work in 25 days. How many days will they take to complete the work together?;39 days;10.97 days;8.97 days;7.47 days;C,,,,,,,,
In what ratio must a grocer mix two varieties of items costing Rs. 20 and Rs. 50 per kg respectively so as to get a mixture worth Rs. 31 per kg?;11:19;19:11;19:12;20:11;B,,,,,,,,
A bag contains 15 red and 5 green balls. One ball is drawn at random. What is the probability that the ball drawn is green?;15/20;4/20;8/20;5/20;D,,,,,,,,
Find the simple interest on Rs. 37000 at 10% per annum for 3 years.;11010;11250;11100;11610;C,,,,,,,,
Two trains of lengths 130 m and 190 m are running in opposite directions on parallel tracks at 62 km/hr and 64 km/hr respectively. The time taken to cross each other is approximately:;7.89 sec;13.71 sec;9.14 sec;11.64 sec;C,,,,,,,,
A can do a piece of work in 17 days and B can do the same work in 18 days. How many days will they take to complete the work together?;10.74 days;35 days;8.74 days;7.24 days;C,,,,,,,,
In what ratio must a grocer mix two varieties of items costing Rs. 24 and Rs. 69 per kg respectively so as to get a mixture worth Rs. 35 per kg?;11:34;34:12;35:11;34:11;D,,,,,,,,
A bag contains 11 black and 7 white balls. One ball is drawn at random. What is the probability that the ball drawn is white?;11/18;9/18;6/18;7/18;D,,,,,,,,
Find the simple interest on Rs. 79500 at 18% per annum for 8 years.;114370;114480;114780;114540;B,,,,,,,,
Two trains of lengths 110 m and 200 m are running in opposite directions on parallel tracks at 40 km/hr and 77 km/hr respectively. The time taken to cross each other is approximately:;9.54 sec;14.31 sec;12.04 sec;8.29 sec;A,,,,,,,,
A can do a piece of work in 27 days and B can do the same work in 25 days. How many days will they take to complete the work together?;52 days;12.98 days;11.48 days;14.98 days;B,,,,,,,,
In what ratio must a grocer mix two varieties of items costing Rs. 22 and Rs. 48 per kg respectively so as to get a mixture worth Rs. 38 per kg?;11:16;10:16;16:10;10:17;B,,,,,,,,
A bag contains 3 blue and 8 white balls. One ball is drawn at random. What is the probability that the ball drawn is white?;9/11;7/11;3/11;8/11;D,,,,,,,,
Find the simple interest on Rs. 25100 at 10% per annum for 4 years.;10040;10440;9980;10400;A,,,,,,,,
Two trains of lengths 180 m and 270 m are running in opposite directions on parallel tracks at 44 km/hr and 74 km/hr respectively. The time taken to cross each other is approximately:;12.48 sec;13.73 sec;16.23 sec;20.59 sec;B,,,,,,,,
A can do a piece of work in 14 days and B can do the same work in 17 days. How many days will they take to complete the work together?;7.68 days;6.18 days;31 days;9.68 days;A,,,,,,,,
In what ratio must a grocer mix two varieties of items costing Rs. 15 and Rs. 53 per kg respectively so as to get a mixture worth Rs. 30 per kg?;24:15;23:16;23:15;15:23;C,,,,,,,,
A bag contains 11 black and 14 white balls. One ball is drawn at random. What is the probability that the ball drawn is white?;11/25;14/25;2/25;13/25;B,,,,,,,,
Find the simple interest on Rs. 43300 at 17% per annum for 2 years.;14722;15372;14842;14262;A,,,,,,,,
Two trains of lengths 280 m and 140 m are running in opposite directions on parallel tracks at 46 km/hr and 56 km/hr respectively. The time taken to cross each other is approximately:;22.23 sec;14.82 sec;13.57 sec;17.32 sec;B,,,,,,,,
A can do a piece of work in 28 days and B can do the same work in 30 days. How many days will they take to complete the work together?;14.48 days;58 days;12.98 days;16.48 days;A,,,,,,,,
In what ratio must a grocer mix two varieties of items costing Rs. 19 and Rs. 46 per kg respectively so as to get a mixture worth Rs. 37 per kg?;9:18;10:18;18:9;9:19;A,,,,,,,,
A bag contains 3 red and 14 white balls. One ball is drawn at random. What is the probability that the ball drawn is white?;10/17;13/17;3/17;14/17;D,,,,,,,,
Find the simple interest on Rs. 79900 at 12% per annum for 6 years.;57218;57958;58138;57528;D,,,,,,,,
Two trains of lengths 210 m and 280 m are running in opposite directions on parallel tracks at 68 km/hr and 48 km/hr respectively. The time taken to cross each other is approximately:;13.96 sec;17.71 sec;22.82 sec;15.21 sec;D,,,,,,,,
A can do a piece of work in 13 days and B can do the same work in 32 days. How many days will they take to complete the work together?;45 days;9.24 days;11.24 days;7.74 days;B,,,,,,,,
In what ratio must a grocer mix two varieties of items costing Rs. 25 and Rs. 54 per kg respectively so as to get a mixture worth Rs. 31 per kg?;6:23;23:6;23:7;24:6;B,,,,,,,,
A bag contains 10 blue and 9 white balls. One ball is drawn at random. What is the probability that the ball drawn is white?;8/19;10/19;9/19;15/19;C,,,,,,,,
Find the simple interest on Rs. 29500 at 9% per annum for 6 years.;15930;16360;15790;16370;A,,,,,,,,
Two trains of lengths 250 m and 230 m are running in opposite directions on parallel tracks at 40 km/hr and 58 km/hr respectively. The time taken to cross each other is approximately:;17.63 sec;26.45 sec;20.13 sec;16.38 sec;A,,,,,,,,
A can do a piece of work in 29 days and B can do the same work in 26 days. How many days will they take to complete the work together?;13.71 days;12.21 days;55 days;15.71 days;A,,,,,,,,
In what ratio must a grocer mix two varieties of items costing Rs. 19 and Rs. 62 per kg respectively so as to get a mixture worth Rs. 42 per kg?;20:24;20:23;23:20;21:23;B,,,,,,,,
A bag contains 10 black and 10 white balls. One ball is drawn at random. What is the probability that the ball drawn is white?;16/20;12/30;9/20;10/20;D,,,,,,,,
Find the simple interest on Rs. 60400 at 15% per annum for 4 years.;36660;36240;37070;35900;B,,,,,,,,
Two trains of lengths 100 m and 150 m are running in opposite directions on parallel tracks at 41 km/hr and 49 km/hr respectively. The time taken to cross each other is approximately:;10.0 sec;8.75 sec;12.5 sec;15.0 sec;A,,,,,,,,
A can do a piece of work in 16 days and B can do the same work in 36 days. How many days will they take to complete the work together?;52 days;13.08 days;11.08 days;9.58 days;C,,,,,,,,
In what ratio must a grocer mix two varieties of items costing Rs. 26 and Rs. 53 per kg respectively so as to get a mixture worth Rs. 42 per kg?;11:17;12:16;16:11;11:16;D,,,,,,,,
A bag contains 9 blue and 7 green balls. One ball is drawn at random. What is the probability that the ball drawn is green?;15/16;9/16;6/16;7/16;D,,,,,,,,
Find the simple interest on Rs. 61300 at 14% per annum for 3 years.;26036;25296;25746;25896;C,,,,,,,,
Two trains of lengths 150 m and 110 m are running in opposite directions on parallel tracks at 72 km/hr and 61 km/hr respectively. The time taken to cross each other is approximately:;7.04 sec;10.56 sec;9.54 sec;5.79 sec;A,,,,,,,,
A can do a piece of work in 24 days and B can do the same work in 29 days. How many days will they take to complete the work together?;11.63 days;13.13 days;15.13 days;53 days;B,,,,,,,,
In what ratio must a grocer mix two varieties of items costing Rs. 21 and Rs. 73 per kg respectively so as to get a mixture worth Rs. 55 per kg?;18:34;19:34;18:35;34:18;A,,,,,,,,
A bag contains 14 red and 5 green balls. One ball is drawn at random. What is the probability that the ball drawn is green?;14/19;16/19;5/19;4/19;C,,,,,,,,
Find the simple interest on Rs. 99600 at 16% per annum for 5 years.;79280;80070;80500;79680;D,,,,,,,,
Two trains of lengths 150 m and 300 m are running in opposite directions on parallel tracks at 48 km/hr and 75 km/hr respectively. The time taken to cross each other is approximately:;11.92 sec;13.17 sec;19.75 sec;15.67 sec;B,,,,,,,,
A can do a piece of work in 11 days and B can do the same work in 30 days. How many days will they take to complete the work together?;6.55 days;8.05 days;41 days;10.05 days;B,,,,,,,,
In what ratio must a grocer mix two varieties of items costing Rs. 28 and Rs. 46 per kg respectively so as to get a mixture worth Rs. 40 per kg?;6:12;12:6;6:13;7:12;A,,,,,,,,
A bag contains 15 red and 15 green balls. One ball is drawn at random. What is the probability that the ball drawn is green?;20/40;14/30;18/30;15/30;D,,,,,,,,
Find the simple interest on Rs. 79300 at 7% per annum for 2 years.;12052;11262;11102;10802;C,,,,,,,,
Two trains of lengths 230 m and 190 m are running in opposite directions on parallel tracks at 63 km/hr and 76 km/hr respectively. The time taken to cross each other is approximately:;9.63 sec;13.38 sec;10.88 sec;16.32 sec;C,,,,,,,,
A can do a piece of work in 20 days and B can do the same work in 34 days. How many days will they take to complete the work together?;12.59 days;11.09 days;14.59 days;54 days;A,,,,,,,,
In what ratio must a grocer mix two varieties of items costing Rs. 15 and Rs. 51 per kg respectively so as to get a mixture worth Rs. 24 per kg?;9:27;28:9;27:9;27:10;C,,,,,,,,
A bag contains 5 black and 13 yellow balls. One ball is drawn at random. What is the probability that the ball drawn is yellow?;12/18;5/18;10/18;13/18;D,,,,,,,,
Find the simple interest on Rs. 73100 at 6% per annum for 6 years.;26316;26866;26266;26806;A,,,,,,,,
Two trains of lengths 240 m and 220 m are running in opposite directions on parallel tracks at 47 km/hr and 70 km/hr respectively. The time taken to cross each other is approximately:;12.9 sec;21.23 sec;16.65 sec;14.15 sec;D,,,,,,,,
A can do a piece of work in 25 days and B can do the same work in 28 days. How many days will they take to complete the work together?;53 days;11.71 days;15.21 days;13.21 days;D,,,,,,,,
In what ratio must a grocer mix two varieties of items costing Rs. 21 and Rs. 58 per kg respectively so as to get a mixture worth Rs. 51 per kg?;30:7;8:30;7:31;7:30;D,,,,,,,,
A bag contains 9 red and 15 yellow balls. One ball is drawn at random. What is the probability that the ball drawn is yellow?;9/24;21/24;14/24;15/24;D,,,,,,,,
Find the simple interest on Rs. 10900 at 8% per annum for 3 years.;2616;2526;2816;2786;A,,,,,,,,
Two trains of lengths 300 m and 220 m are running in opposite directions on parallel tracks at 56 km/hr and 49 km/hr respectively. The time taken to cross each other is approximately:;16.58 sec;17.83 sec;26.74 sec;20.33 sec;B,,,,,,,,
A can do a piece of work in 13 days and B can do the same work in 24 days. How many days will they take to complete the work together?;6.93 days;37 days;8.43 days;10.43 days;C,,,,,,,,
In what ratio must a grocer mix two varieties of items costing Rs. 19 and Rs. 45 per kg respectively so as to get a mixture worth Rs. 34 per kg?;12:15;11:15;15:11;11:16;B,,,,,,,,
A bag contains 6 black and 9 green balls. One ball is drawn at random. What is the probability that the ball drawn is green?;6/15;4/15;8/15;9/15;D,,,,,,,,
Find the simple interest on Rs. 61200 at 11% per annum for 5 years.;33290;34560;33660;34020;C,,,,,,,,
Two trains of lengths 140 m and 150 m are running in opposite directions on parallel tracks at 51 km/hr and 55 km/hr respectively. The time taken to cross each other is approximately:;8.6 sec;14.77 sec;12.35 sec;9.85 sec;D,,,,,,,,
In what ratio must a grocer mix two varieties of items costing Rs. 23 and Rs. 75 per kg respectively so as to get a mixture worth Rs. 48 per kg?;27:26;28:25;27:25;25:27;C,,,,,,,,
A bag contains 8 blue and 5 white balls. One ball is drawn at random. What is the probability that the ball drawn is white?;4/13;5/13;8/13;6/13;B,,,,,,,,
Find the simple interest on Rs. 96000 at 17% per annum for 8 years.;130860;130560;130570;130170;B,,,,,,,,
Two trains of lengths 120 m and 130 m are running in opposite directions on parallel tracks at 44 km/hr and 42 km/hr respectively. The time taken to cross each other is approximately:;12.97 sec;15.71 sec;10.47 sec;9.22 sec;C,,,,,,,,
A can do a piece of work in 16 days and B can do the same work in 31 days. How many days will they take to complete the work together?;12.55 days;9.05 days;47 days;10.55 days;D,,,,,,,,
In what ratio must a grocer mix two varieties of items costing Rs. 20 and Rs. 47 per kg respectively so as to get a mixture worth Rs. 33 per kg?;14:13;8:7;15:13;13:14;A,,,,,,,,
A bag contains 5 red and 11 white balls. One ball is drawn at random. What is the probability that the ball drawn is white?;4/16;5/16;10/16;11/16;D,,,,,,,,
Find the simple interest on Rs. 47500 at 8% per annum for 4 years.;15490;16090;15200;15120;C,,,,,,,,
Two trains of lengths 280 m and 170 m are running in opposite directions on parallel tracks at 62 km/hr and 45 km/hr respectively. The time taken to cross each other is approximately:;13.89 sec;22.71 sec;15.14 sec;17.64 sec;C,,,,,,,,
A can do a piece of work in 27 days and B can do the same work in 37 days. How many days will they take to complete the work together?;14.11 days;17.61 days;15.61 days;64 days;C,,,,,,,,
In what ratio must a grocer mix two varieties of items costing Rs. 25 and Rs. 49 per kg respectively so as to get a mixture worth Rs. 43 per kg?;18:6;6:18;6:19;7:18;B,,,,,,,,
A bag contains 3 red and 7 white balls. One ball is drawn at random. What is the probability that the ball drawn is white?;6/10;3/10;5/10;7/10;D,,,,,,,,
Find the simple interest on Rs. 71100 at 11% per annum for 6 years.;47356;46526;46926;47246;C,,,,,,,,
Two trains of lengths 240 m and 140 m are running in opposite directions on parallel tracks at 40 km/hr and 74 km/hr respectively. The time taken to cross each other is approximately:;10.75 sec;12.0 sec;14.5 sec;18.0 sec;B,,,,,,,,
A can do a piece of work in 23 days and B can do the same work in 27 days. How many days will they take to complete the work together?;50 days;10.92 days;12.42 days;14.42 days;C,,,,,,,,
In what ratio must a grocer mix two varieties of items costing Rs. 28 and Rs. 79 per kg respectively so as to get a mixture worth Rs. 55 per kg?;24:28;27:24;25:27;24:27;D,,,,,,,,
A bag contains 3 blue and 4 yellow balls. One ball is drawn at random. What is the probability that the ball drawn is yellow?;3/7;1/7;4/7;11/17;C,,,,,,,,
Find the simple interest on Rs. 81200 at 15% per annum for 3 years.;36880;36540;36110;36940;B,,,,,,,,
Two trains of lengths 230 m and 290 m are running in opposite directions on parallel tracks at 76 km/hr and 48 km/hr respectively. The time taken to cross each other is approximately:;22.65 sec;13.85 sec;15.1 sec;17.6 sec;C,,,,,,,,
A can do a piece of work in 27 days and B can do the same work in 32 days. How many days will they take to complete the work together?;14.64 days;59 days;16.64 days;13.14 days;A,,,,,,,,
In what ratio must a grocer mix two varieties of items costing Rs. 20 and Rs. 53 per kg respectively so as to get a mixture worth Rs. 35 per kg?;18:15;19:15;15:18;18:16;A,,,,,,,,
A bag contains 9 black and 15 green balls. One ball is drawn at random. What is the probability that the ball drawn is green?;23/24;15/24;14/24;9/24;B,,,,,,,,
Find the simple interest on Rs. 60000 at 16% per annum for 8 years.;76420;76840;77140;76800;D,,,,,,,,
Two trains of lengths 180 m and 270 m are running in opposite directions on parallel tracks at 63 km/hr and 56 km/hr respectively. The time taken to cross each other is approximately:;16.11 sec;20.41 sec;12.36 sec;13.61 sec;D,,,,,,,,
A can do a piece of work in 25 days and B can do the same work in 29 days. How many days will they take to complete the work together?;11.93 days;15.43 days;13.43 days;54 days;C,,,,,,,,
In what ratio must a grocer mix two varieties of items costing Rs. 15 and Rs. 50 per kg respectively so as to get a mixture worth Rs. 39 per kg?;11:25;11:24;12:24;24:11;B,,,,,,,,
A bag contains 4 red and 15 yellow balls. One ball is drawn at random. What is the probability that the ball drawn is yellow?;4/19;6/19;14/19;15/19;D,,,,,,,,
Find the simple interest on Rs. 91300 at 13% per annum for 8 years.;95182;94732;95262;94952;D,,,,,,,,
Two trains of lengths 180 m and 200 m are running in opposite directions on parallel tracks at 58 km/hr and 54 km/hr respectively. The time taken to cross each other is approximately:;10.96 sec;14.71 sec;12.21 sec;18.32 sec;C,,,,,,,,
A can do a piece of work in 30 days and B can do the same work in 39 days. How many days will they take to complete the work together?;15.46 days;18.96 days;69 days;16.96 days;D,,,,,,,,
In what ratio must a grocer mix two varieties of items costing Rs. 25 and Rs. 78 per kg respectively so as to get a mixture worth Rs. 56 per kg?;31:22;22:31;22:32;23:31;B,,,,,,,,
A bag contains 7 red and 14 white balls. One ball is drawn at random. What is the probability that the ball drawn is white?;13/21;19/21;14/21;7/21;C,,,,,,,,
Find the simple interest on Rs. 89000 at 7% per annum for 5 years.;32030;31230;31150;30910;C,,,,,,,,
Two trains of lengths 240 m and 280 m are running in opposite directions on parallel tracks at 74 km/hr and 58 km/hr respectively. The time taken to cross each other is approximately:;14.18 sec;12.93 sec;21.27 sec;16.68 sec;A,,,,,,,,
A can do a piece of work in 10 days and B can do the same work in 40 days. How many days will they take to complete the work together?;6.5 days;10.0 days;8.0 days;50 days;C,,,,,,,,
In what ratio must a grocer mix two varieties of items costing Rs. 25 and Rs. 68 per kg respectively so as to get a mixture worth Rs. 51 per kg?;17:27;17:26;26:17;18:26;B,,,,,,,,
A bag contains 11 blue and 5 green balls. One ball is drawn at random. What is the probability that the ball drawn is green?;4/16;15/16;5/16;11/16;C,,,,,,,,
Find the simple interest on Rs. 63000 at 6% per annum for 2 years.;7080;8290;7560;7630;C,,,,,,,,
